codigo_indicador,codigo_pais,codigo_area,incluido,motivo
TERR_DENS,DZA,AFR,SI,
TERR_DENS,AGO,AFR,SI,
TERR_DENS,BWA,AFR,SI,
TERR_DENS,IOT,AFR,NO,Falta superficie terrestre 2023
TERR_DENS,BDI,AFR,SI,
TERR_DENS,CMR,AFR,SI,
TERR_DENS,CPV,AFR,SI,
TERR_DENS,CAF,AFR,SI,
TERR_DENS,TCD,AFR,SI,
TERR_DENS,COM,AFR,SI,
TERR_DENS,MYT,AFR,SI,
TERR_DENS,COG,AFR,SI,
TERR_DENS,COD,AFR,SI,
TERR_DENS,BEN,AFR,SI,
TERR_DENS,GNQ,AFR,SI,
TERR_DENS,ETH,AFR,SI,
TERR_DENS,ERI,AFR,SI,
TERR_DENS,DJI,AFR,SI,
TERR_DENS,GAB,AFR,SI,
TERR_DENS,GMB,AFR,SI,
TERR_DENS,GHA,AFR,SI,
TERR_DENS,GIN,AFR,SI,
TERR_DENS,CIV,AFR,SI,
TERR_DENS,KEN,AFR,SI,
TERR_DENS,LSO,AFR,SI,
TERR_DENS,LBR,AFR,SI,
TERR_DENS,LBY,AFR,SI,
TERR_DENS,MDG,AFR,SI,
TERR_DENS,MWI,AFR,SI,
TERR_DENS,MLI,AFR,SI,
TERR_DENS,MRT,AFR,SI,
TERR_DENS,MUS,AFR,SI,
TERR_DENS,MAR,AFR,SI,
TERR_DENS,MOZ,AFR,SI,
TERR_DENS,NAM,AFR,SI,
TERR_DENS,NER,AFR,SI,
TERR_DENS,NGA,AFR,SI,
TERR_DENS,GNB,AFR,SI,
TERR_DENS,REU,AFR,SI,
TERR_DENS,RWA,AFR,SI,
TERR_DENS,SHN,AFR,SI,
TERR_DENS,STP,AFR,SI,
TERR_DENS,SEN,AFR,SI,
TERR_DENS,SYC,AFR,SI,
TERR_DENS,SLE,AFR,SI,
TERR_DENS,SOM,AFR,SI,
TERR_DENS,ZAF,AFR,SI,
TERR_DENS,ZWE,AFR,SI,
TERR_DENS,SSD,AFR,SI,
TERR_DENS,SDN,AFR,SI,
TERR_DENS,ESH,AFR,SI,
TERR_DENS,SWZ,AFR,SI,
TERR_DENS,TGO,AFR,SI,
TERR_DENS,TUN,AFR,SI,
TERR_DENS,UGA,AFR,SI,
TERR_DENS,EGY,AFR,SI,
TERR_DENS,TZA,AFR,SI,
TERR_DENS,BFA,AFR,SI,
TERR_DENS,ZMB,AFR,SI,
TERR_DENS,ASM,APC,SI,
TERR_DENS,AUS,APC,SI,
TERR_DENS,SLB,APC,SI,
TERR_DENS,BRN,APC,SI,
