periodo,codigo_pais,codigo_indicador,valor,unidad,anio_referencia,codigo_fuente,observaciones
RG2025_V1,AFG,TERR_DENS,67.2218634531,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,AFG,POB_URB,25.4730529631,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,AFG,POB_EDAD,16.94,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,AFG,HUM_EV,66.035,anios,2023,WB_WDI,
RG2025_V1,AFG,ECO_PC,416.8710485256,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,AFG,HUM_IDH,0.496,indice_0_1,2023,UNDP_HDR,
RG2025_V1,ALB,TERR_DENS,101.1498905109,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,ALB,POB_URB,58.2106086138,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,ALB,POB_EDAD,36.277,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,ALB,HUM_EV,79.602,anios,2023,WB_WDI,
RG2025_V1,ALB,ECO_PC,9684.7554955726,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,ALB,HUM_IDH,0.81,indice_0_1,2023,UNDP_HDR,
RG2025_V1,DZA,TERR_DENS,19.9162419072,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,DZA,POB_URB,74.7328083641,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,DZA,POB_EDAD,28.189,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,DZA,HUM_EV,76.261,anios,2023,WB_WDI,
RG2025_V1,DZA,ECO_PC,5752.9915038522,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,DZA,HUM_IDH,0.763,indice_0_1,2023,UNDP_HDR,
RG2025_V1,ASM,TERR_DENS,230.265,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,ASM,POB_URB,81.3721542708,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,ASM,POB_EDAD,28.435,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,ASM,HUM_EV,72.852,anios,2023,WB_WDI,
