年,舊版(附註1)-數值,舊版(附註1)-排名,2010年版 (附註2)-數值,2010年版 (附註2)-排名,2014年版(附註3)-數值,2014年版(附註3)-排名
1992,0.837,-,-,-,-,-
1993,0.843,-,-,-,-,-
1994,0.849,-,-,-,-,-
1995,0.854,-,-,-,-,-
1996,0.861,-,-,-,-,-
1997,0.869,23,-,-,-,-
1998,0.875,-,-,-,-,-
1999,0.881,23,-,-,-,-
2000,0.89,23,-,-,-,-
2001,0.894,24,-,-,-,-
2002,0.902,26,-,-,-,-
2003,0.909,25,-,-,-,-
2004,0.917,24,-,-,-,-
2005,0.922,23,0.854,25,0.846,25
2006,0.93,24,0.859,-,-,-
2007,0.938,26,0.868,-,-,-
2008,-,-,0.868,-,0.857,27
2009,-,-,0.871,23,-,-
2010,-,-,0.879,23,0.873,26
2011,-,-,0.882,22,0.874,26
2012,-,-,0.89,23,0.879,25
2013,-,-,-,-,0.882,21
2014,-,-,-,-,0.882,25
2015,-,-,-,-,0.885,27
2016,-,-,-,-,0.903,21
2017,-,-,-,-,0.907,21
2018,-,-,-,-,0.911,21
2019,-,-,-,-,0.916,23
2020,-,-,-,-,0.923,19
2021,-,-,-,-,0.926,19
2022,-,-,-,-,0.925,24
2023,-,-,-,-,0.934,21
