codigo_iso3,codigo_m49,nombre_es,area_codigo,area_nombre,tipo_entidad,incluir_calculos,superficie_km2,anio_superficie,poblacion_2025,poblacion_2050,edad_mediana_2025,fuente_superficie,fuente_poblacion,estado_revision,observaciones_datos
AFG,004,Afghanistan,SAI,Subcontinente indio,PAIS_SOBERANO,SI,652230.0,2023.0,43844116.0,76885136.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ALB,008,Albania,EUR,Europa,PAIS_SOBERANO,SI,27400.0,2023.0,2771507.0,2240170.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
DZA,012,Algeria,AFR,África,PAIS_SOBERANO,SI,2381740.0,2023.0,47435310.0,59565550.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ASM,016,American Samoa,APC,Asia-Pacífico,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,200.0,2023.0,46053.0,37570.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
AND,020,Andorra,EUR,Europa,PAIS_SOBERANO,SI,470.0,2023.0,82920.0,82213.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
AGO,024,Angola,AFR,África,PAIS_SOBERANO,SI,1246700.0,2023.0,39040034.0,74295397.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ATG,028,Antigua and Barbuda,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,440.0,2023.0,94222.0,95062.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
AZE,031,Azerbaijan,RUE,Rusia y Eurasia postsoviética,PAIS_SOBERANO,SI,82650.0,2023.0,10397712.0,11224921.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ARG,032,Argentina,SAM,Sudamérica,PAIS_SOBERANO,SI,2736690.0,2023.0,45851379.0,48308945.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
AUS,036,Australia,APC,Asia-Pacífico,PAIS_SOBERANO,SI,7692020.0,2023.0,26974024.0,32506964.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
AUT,040,Austria,EUR,Europa,PAIS_SOBERANO,SI,82520.0,2023.0,9113578.0,8724335.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BHS,044,Bahamas,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,10010.0,2023.0,403040.0,424272.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BHR,048,Bahrain,MDE,Oriente Medio,PAIS_SOBERANO,SI,800.0,2023.0,1643338.0,2139472.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BGD,050,Bangladesh,SAI,Subcontinente indio,PAIS_SOBERANO,SI,129980.0,2023.0,175686904.0,214709097.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
