codigo_iso3,codigo_m49,pais,area_codigo,tipo_incidencia,indicador,detalle,estado
AFG,004,Afghanistan,SAI,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
DZA,012,Algeria,AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
ASM,016,American Samoa,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
ASM,016,American Samoa,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
AND,020,Andorra,EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
AGO,024,Angola,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2018 (ventana 2015-2018).,REVISAR
ATG,028,Antigua and Barbuda,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
AZE,031,Azerbaijan,RUE,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
BHS,044,Bahamas,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
BHR,048,Bahrain,MDE,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
BRB,052,Barbados,NAC,GINI_ANTIGUO,HUM_GINI,Dato Gini 2016 (ventana 2015-2018).,REVISAR
BMU,060,Bermuda,NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
BMU,060,Bermuda,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
BWA,072,Botswana,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2015 (ventana 2015-2018).,REVISAR
BLZ,084,Belize,NAC,GINI_ANTIGUO,HUM_GINI,Dato Gini 2018 (ventana 2015-2018).,REVISAR
IOT,086,British Indian Ocean Territory,AFR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
IOT,086,British Indian Ocean Territory,AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
IOT,086,British Indian Ocean Territory,AFR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
SLB,090,Solomon Islands,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
VGB,092,"Virgin Islands, British",NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
VGB,092,"Virgin Islands, British",NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
BRN,096,Brunéi,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
MMR,104,Myanmar,APC,GINI_ANTIGUO,HUM_GINI,Dato Gini 2017 (ventana 2015-2018).,REVISAR
KHM,116,Cambodia,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
CPV,132,Cabo Verde,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2015 (ventana 2015-2018).,REVISAR
CYM,136,Cayman Islands,NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
CYM,136,Cayman Islands,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
TWN,158,"Taiwan, Province of China",APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
TWN,158,"Taiwan, Province of China",APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
TWN,158,"Taiwan, Province of China",APC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
CXR,162,Christmas Island,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
CXR,162,Christmas Island,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
CXR,162,Christmas Island,APC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
CCK,166,Cocos (Keeling) Islands,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
CCK,166,Cocos (Keeling) Islands,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
CCK,166,Cocos (Keeling) Islands,APC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
MYT,175,Mayotte,AFR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
MYT,175,Mayotte,AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
MYT,175,Mayotte,AFR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
COG,178,Congo,AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
COK,184,Cook Islands,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
COK,184,Cook Islands,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
COK,184,Cook Islands,APC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
CUB,192,Cuba,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
DMA,212,Dominica,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
ERI,232,Eritrea,AFR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
FRO,234,Faroe Islands,EUR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
FRO,234,Faroe Islands,EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
FLK,238,Falkland Islands (Malvinas),SAM,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
FLK,238,Falkland Islands (Malvinas),SAM,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
FLK,238,Falkland Islands (Malvinas),SAM,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
ALA,248,Åland Islands,EUR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
ALA,248,Åland Islands,EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
ALA,248,Åland Islands,EUR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
GUF,254,French Guiana,SAM,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
GUF,254,French Guiana,SAM,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
GUF,254,French Guiana,SAM,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
PYF,258,French Polynesia,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
PYF,258,French Polynesia,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
DJI,262,Djibouti,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2017 (ventana 2015-2018).,REVISAR
GAB,266,Gabon,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2017 (ventana 2015-2018).,REVISAR
GHA,288,Ghana,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2016 (ventana 2015-2018).,REVISAR
GIB,292,Gibraltar,EUR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
GIB,292,Gibraltar,EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
GRL,304,Greenland,NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
GRL,304,Greenland,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
GRD,308,Grenada,NAC,GINI_ANTIGUO,HUM_GINI,Dato Gini 2018 (ventana 2015-2018).,REVISAR
GLP,312,Guadeloupe,NAC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
GLP,312,Guadeloupe,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
GLP,312,Guadeloupe,NAC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
GUM,316,Guam,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
GUM,316,Guam,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
GIN,324,Guinea,AFR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2018 (ventana 2015-2018).,REVISAR
GUY,328,Guyana,SAM,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
HTI,332,Haiti,NAC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
VAT,336,Holy See (Vatican City State),EUR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
VAT,336,Holy See (Vatican City State),EUR,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
VAT,336,Holy See (Vatican City State),EUR,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
HKG,344,Hong Kong,CHN,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
HUN,348,Hungary,EUR,GINI_ANTIGUO,HUM_GINI,Dato Gini 2017 (ventana 2015-2018).,REVISAR
JOR,400,Jordan,MDE,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
PRK,408,Corea del Norte,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
PRK,408,Corea del Norte,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
KWT,414,Kuwait,MDE,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
