codigo_iso3,codigo_m49,pais,area_codigo,anio,co2_t,co2_per_capita_t,poblacion_2025,fuente,estado_revision,observaciones
AFG,004,Afghanistan,SAI,2024.0,10825998.0,0.24692020247369112,43844116.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ALB,008,Albania,EUR,2024.0,4444448.0,1.6036214232906503,2771507.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
DZA,012,Algeria,AFR,2024.0,198203180.0,4.178389052374698,47435310.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ASM,016,American Samoa,APC,,,,46053.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
AND,020,Andorra,EUR,2024.0,424663.0,5.1213579353593826,82920.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
AGO,024,Angola,AFR,2024.0,22333584.0,0.5720687640794575,39040034.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ATG,028,Antigua and Barbuda,NAC,2024.0,665140.0,7.059285517182824,94222.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
AZE,031,Azerbaijan,RUE,2024.0,39830140.0,3.830663899904133,10397712.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ARG,032,Argentina,SAM,2024.0,171059260.0,3.7307331585381545,45851379.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
AUS,036,Australia,APC,2024.0,386732380.0,14.337214944273795,26974024.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
AUT,040,Austria,EUR,2024.0,56367656.0,6.185019319525218,9113578.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BHS,044,Bahamas,NAC,2024.0,3069679.0,7.6163135172687575,403040.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BHR,048,Bahrain,MDE,2024.0,39003456.0,23.734287164296084,1643338.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BGD,050,Bangladesh,SAI,2024.0,108317880.0,0.616539295381971,175686904.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ARM,051,Armenia,RUE,2024.0,7430715.0,2.5168772048076873,2952355.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BRB,052,Barbados,NAC,2024.0,1365171.0,4.8302751319756005,282628.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BEL,056,Belgium,EUR,2024.0,85456200.0,7.267548239794853,11758601.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BMU,060,Bermuda,NAC,2024.0,550001.0,8.517375414253415,64574.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
BTN,064,Bhutan,SAI,2024.0,1657416.0,2.0803801734428364,796689.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BOL,068,Bolivia,SAM,2024.0,28708664.0,2.281752750609668,12581847.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BIH,070,Bosnia and Herzegovina,EUR,2024.0,19425932.0,6.186409468749065,3140098.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BWA,072,Botswana,AFR,2024.0,7461599.0,2.912269698004586,2562125.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BRA,076,Brazil,SAM,2024.0,483011550.0,2.2696588958584023,212812397.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BLZ,084,Belize,NAC,2024.0,796027.0,1.8821853416783512,422927.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
IOT,086,British Indian Ocean Territory,AFR,,,,,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
SLB,090,Solomon Islands,APC,2024.0,294648.0,0.35133398119608183,838655.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
VGB,092,"Virgin Islands, British",NAC,2024.0,192507.0,4.842943396226415,39750.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
BRN,096,Brunéi,APC,2024.0,12052463.0,25.844908628505504,466338.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BGR,100,Bulgaria,EUR,2024.0,31621824.0,4.7094437815396875,6714556.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MMR,104,Myanmar,APC,2024.0,31603438.0,0.5761725549714564,54850648.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BDI,108,Burundi,AFR,2024.0,916664.0,0.06370139294503863,14390015.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BLR,112,Belarus,RUE,2024.0,55818416.0,6.203699852883007,8997601.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
KHM,116,Cambodia,APC,2024.0,21882690.0,1.2260596870872957,17847981.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CMR,120,Cameroon,AFR,2024.0,9631583.0,0.3223492445834063,29879341.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CAN,124,Canada,NAC,2024.0,533340100.0,13.29139270961739,40126728.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CPV,132,Cabo Verde,AFR,2024.0,593786.0,1.126017146660649,527333.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CYM,136,Cayman Islands,NAC,,,,75861.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero.
CAF,140,Central African Republic,AFR,2024.0,394681.0,0.07158725304654974,5513286.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LKA,144,Sri Lanka,SAI,2024.0,20825544.0,0.8965137996667509,23229474.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TCD,148,Chad,AFR,2024.0,2831401.0,0.13480486129563546,21003701.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CHL,152,Chile,SAM,2024.0,78725544.0,3.96404154518455,19859919.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CHN,156,China,CHN,2024.0,12289037000.0,8.67810952995829,1416096093.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TWN,158,"Taiwan, Province of China",APC,2024.0,262344820.0,11.350630561935018,23112797.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
CXR,162,Christmas Island,APC,2024.0,0.0,,,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,Cero publicado por la fuente; no es una ausencia. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
CCK,166,Cocos (Keeling) Islands,APC,,,,,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
COL,170,Colombia,SAM,2024.0,92659384.0,1.7343620605758334,53425629.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
COM,174,Comoros,AFR,2024.0,551650.0,0.62485062598332,882851.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MYT,175,Mayotte,AFR,,,,337019.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
COG,178,Congo,AFR,2024.0,8839770.0,1.3632286041178285,6484437.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
COD,180,"Congo, The Democratic Republic of the",AFR,2024.0,5904451.0,0.052329358192311215,112832475.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
COK,184,Cook Islands,APC,2024.0,80083.0,6.030346385542169,13280.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
CRI,188,Costa Rica,NAC,2024.0,8760451.0,1.700084941651858,5152949.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
HRV,191,Croatia,EUR,2024.0,18464850.0,4.798353188689464,3848164.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CUB,192,Cuba,NAC,2024.0,24440234.0,2.234596358867985,10937203.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CYP,196,Cyprus,EUR,2024.0,7299328.0,5.325045923630352,1370754.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CZE,203,Chequia,EUR,2024.0,75623000.0,7.128031119285536,10609241.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BEN,204,Benin,AFR,2024.0,6066339.0,0.409487689730169,14814460.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
DNK,208,Denmark,EUR,2024.0,28369162.0,4.72621259588689,6002515.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
DMA,212,Dominica,NAC,2024.0,170858.0,2.5930006677593638,65892.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
DOM,214,Dominican Republic,NAC,2024.0,33130818.0,2.8758184878186097,11520483.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ECU,218,Ecuador,SAM,2024.0,45979548.0,2.5139313516127864,18289898.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SLV,222,El Salvador,NAC,2024.0,8972291.0,1.4095173266665681,6365506.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GNQ,226,Equatorial Guinea,AFR,2024.0,7010352.0,3.6164990745116166,1938436.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ETH,231,Ethiopia,AFR,2024.0,17837292.0,0.13166769280700621,135472048.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ERI,232,Eritrea,AFR,2024.0,742647.0,0.20589031947020836,3607003.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
EST,233,Estonia,EUR,2024.0,8306777.0,6.1795525488083936,1344236.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
FRO,234,Faroe Islands,EUR,2024.0,725388.0,12.948039198186459,56023.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
FLK,238,Falkland Islands (Malvinas),SAM,,,,3493.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
FJI,242,Fiji,APC,2024.0,1445316.0,1.5488421587317918,933159.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
FIN,246,Finland,EUR,2024.0,29775000.0,5.294907215086867,5623328.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ALA,248,Åland Islands,EUR,,,,,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
FRA,250,France,EUR,2024.0,264155620.0,3.9632773222060456,66650804.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GUF,254,French Guiana,SAM,,,,313665.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
PYF,258,French Polynesia,APC,2024.0,922867.0,3.2671559256269735,282468.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
DJI,262,Djibouti,AFR,2024.0,564084.0,0.4763893041191404,1184082.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GAB,266,Gabon,AFR,2024.0,5398794.0,2.0819596079025704,2593131.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GEO,268,Georgia,RUE,2024.0,11784258.0,3.0956875945872886,3806669.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GMB,270,Gambia,AFR,2024.0,802774.0,0.2844604042246644,2822094.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PSE,275,Palestina,MDE,2024.0,4780046.0,0.8551629159128902,5589632.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
DEU,276,Germany,EUR,2024.0,572319170.0,6.807239482093831,84075075.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GHA,288,Ghana,AFR,2024.0,21021874.0,0.599523954251217,35064277.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GIB,292,Gibraltar,EUR,,,,40152.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
KIR,296,Kiribati,APC,2024.0,72456.0,0.5307937438189078,136505.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GRC,300,Greece,EUR,2024.0,53360840.0,5.368916535288248,9938847.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GRL,304,Greenland,NAC,2024.0,618963.0,11.099090860186132,55767.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
GRD,308,Grenada,NAC,2024.0,376971.0,3.213323104462345,117315.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GLP,312,Guadeloupe,NAC,,,,373796.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
GUM,316,Guam,APC,,,,169014.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
GTM,320,Guatemala,NAC,2024.0,19880430.0,1.063814030065795,18687881.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GIN,324,Guinea,AFR,2024.0,4026185.0,0.2666395182801601,15099731.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GUY,328,Guyana,SAM,2024.0,4510330.0,5.395189661132716,835991.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
HTI,332,Haiti,NAC,2024.0,2970693.0,0.24951029279627726,11906094.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
VAT,336,Holy See (Vatican City State),EUR,,,,510.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero.
HND,340,Honduras,NAC,2024.0,12854842.0,1.1680006236682086,11005852.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
