codigo_iso3,codigo_m49,pais,area_codigo,idh,anio_idh,gini,anio_gini,esperanza_vida,anio_esperanza_vida,fuente_idh,fuente_gini,fuente_esperanza_vida,estado_revision,observaciones
AFG,004,Afghanistan,SAI,0.496,2023.0,,,66.035,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
ALB,008,Albania,EUR,0.81,2023.0,29.4,2020.0,79.602,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
DZA,012,Algeria,AFR,0.763,2023.0,,,76.261,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
ASM,016,American Samoa,APC,,,,,72.852,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
AND,020,Andorra,EUR,0.913,2023.0,,,84.041,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
AGO,024,Angola,AFR,0.616,2023.0,51.3,2018.0,64.617,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
ATG,028,Antigua and Barbuda,NAC,0.851,2023.0,,,77.598,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
AZE,031,Azerbaijan,RUE,0.789,2023.0,,,74.429,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
ARG,032,Argentina,SAM,0.865,2023.0,42.4,2024.0,77.395,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
AUS,036,Australia,APC,0.958,2023.0,33.8,2020.0,83.0512195121951,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
AUT,040,Austria,EUR,0.93,2023.0,31.2,2023.0,81.7926829268293,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
BHS,044,Bahamas,NAC,0.82,2023.0,,,74.552,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
BHR,048,Bahrain,MDE,0.899,2023.0,,,81.284,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
BGD,050,Bangladesh,SAI,0.685,2023.0,30.9,2022.0,74.672,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
ARM,051,Armenia,RUE,0.811,2023.0,27.4,2024.0,77.4658536585366,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
BRB,052,Barbados,NAC,0.811,2023.0,34.1,2016.0,76.178,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
BEL,056,Belgium,EUR,0.951,2023.0,26.8,2023.0,82.4,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
BMU,060,Bermuda,NAC,,,,,82.309,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
