codigo_iso3,codigo_m49,pais,area_codigo,pib_usd,anio_pib,fuente,indicador_fuente,estado_revision,observaciones
AFG,004,Afghanistan,SAI,17778508875.7396,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ALB,008,Albania,EUR,27037474263.2977,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
DZA,012,Algeria,AFR,269322281664.773,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ASM,016,American Samoa,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
AND,020,Andorra,EUR,4044249678.65625,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
AGO,024,Angola,AFR,103080538044.058,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ATG,028,Antigua and Barbuda,NAC,2162366666.66667,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
AZE,031,Azerbaijan,RUE,74426000000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ARG,032,Argentina,SAM,638365455340.04,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
AUS,036,Australia,APC,1757022451652.83,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
AUT,040,Austria,EUR,534790720466.822,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BHS,044,Bahamas,NAC,15832800000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BHR,048,Bahrain,MDE,47210732712.766,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BGD,050,Bangladesh,SAI,450119432068.852,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ARM,051,Armenia,RUE,25955275380.0321,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BRB,052,Barbados,NAC,7597571450.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BEL,056,Belgium,EUR,670983130618.828,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BMU,060,Bermuda,NAC,9194499000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BTN,064,Bhutan,SAI,3346603858.7495,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BOL,068,Bolivia,SAM,54881327452.9667,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BIH,070,Bosnia and Herzegovina,EUR,29737363103.0492,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BWA,072,Botswana,AFR,19286251067.5078,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BRA,076,Brazil,SAM,2185821610689.31,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BLZ,084,Belize,NAC,3203631800.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
IOT,086,British Indian Ocean Territory,AFR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
SLB,090,Solomon Islands,APC,1583964703.75061,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
VGB,092,"Virgin Islands, British",NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
BRN,096,Brunéi,APC,15340808592.48,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BGR,100,Bulgaria,EUR,113349149166.793,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MMR,104,Myanmar,APC,74068349523.8095,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BDI,108,Burundi,AFR,3037579858.38142,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BLR,112,Belarus,RUE,78591839299.7087,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
KHM,116,Cambodia,APC,46352647037.2406,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CMR,120,Cameroon,AFR,53296694320.2057,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CAN,124,Canada,NAC,2270076189683.46,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CPV,132,Cabo Verde,AFR,2713721857.39153,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CYM,136,Cayman Islands,NAC,7765336505.34319,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CAF,140,Central African Republic,AFR,2751494281.06887,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
LKA,144,Sri Lanka,SAI,99616111265.7633,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
TCD,148,Chad,AFR,19906706689.7582,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CHL,152,Chile,SAM,329260633698.726,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CHN,156,China,CHN,18729668435848.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,WDI reporta CHN separado; revisar consistencia con HKG/MAC.
TWN,158,"Taiwan, Province of China",APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI. WDI no publica valor separado en esta extraccion; queda ausente.
CXR,162,Christmas Island,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
CCK,166,Cocos (Keeling) Islands,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
COL,170,Colombia,SAM,420504033143.211,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
COM,174,Comoros,AFR,1610082688.26617,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MYT,175,Mayotte,AFR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
