codigo_iso3,codigo_m49,pais,area_codigo,anio,tec_net_pct,poblacion_2025,usuarios_estimados_2025,fuente_codigo,fuente,estado_revision,observaciones
AFG,004,Afghanistan,SAI,2024.0,16.09499931,43844116.0,7056710.1676755985,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
ALB,008,Albania,EUR,2024.0,85.86389923,2771507.0,2379723.9776323964,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
DZA,012,Algeria,AFR,2024.0,77.4178009,47435310.0,36723373.852097794,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
ASM,016,American Samoa,APC,1990.0,0.0,46053.0,0.0,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Cero publicado por la fuente; no es una ausencia. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
AND,020,Andorra,EUR,2024.0,94.39759827,82920.0,78274.488485484,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
AGO,024,Angola,AFR,2024.0,40.70479965,39040034.0,15891167.622991882,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
ATG,028,Antigua and Barbuda,NAC,2024.0,72.73040009,94222.0,68528.0375727998,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
AZE,031,Azerbaijan,RUE,2025.0,90.80000181,10397712.0,9441122.684198586,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
ARG,032,Argentina,SAM,2024.0,89.66715228,45851379.0,41113625.830409944,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
AUS,036,Australia,APC,2024.0,96.13140106,26974024.0,25930507.193460654,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
AUT,040,Austria,EUR,2025.0,91.92573373,9113578.0,8377723.44555586,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BHS,044,Bahamas,NAC,2024.0,92.47270203,403040.0,372701.97826171195,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BHR,048,Bahrain,MDE,2024.0,100.0,1643338.0,1643338.0,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BGD,050,Bangladesh,SAI,2024.0,53.42171316,175686904.0,93854953.91456456,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
ARM,051,Armenia,RUE,2024.0,81.33930206,2952355.0,2401424.951333513,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BRB,052,Barbados,NAC,2024.0,70.36470032,282628.0,198870.3452204096,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BEL,056,Belgium,EUR,2024.0,95.77579144,11758601.0,11261893.170021756,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BMU,060,Bermuda,NAC,2017.0,98.37,64574.0,63521.4438,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
BTN,064,Bhutan,SAI,2024.0,91.27739716,796689.0,727196.9826600325,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BOL,068,Bolivia,SAM,2024.0,79.70469666,12581847.0,10028322.98557531,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BIH,070,Bosnia and Herzegovina,EUR,2024.0,86.10091103,3140098.0,2703652.9852348096,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BWA,072,Botswana,AFR,2024.0,57.45950036,2562125.0,1472184.2235986502,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BRA,076,Brazil,SAM,2024.0,84.46347227,212812397.0,179748739.9272173,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BLZ,084,Belize,NAC,2024.0,80.00582262,422927.0,338366.22543208743,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
IOT,086,British Indian Ocean Territory,AFR,,,,,,,AUSENTE_DOCUMENTADO,Sin dato UIT/Banco Mundial; no imputar ni convertir en cero. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
SLB,090,Solomon Islands,APC,2024.0,29.04070091,838655.0,243551.29021676054,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
VGB,092,"Virgin Islands, British",NAC,2017.0,77.7042682926829,39750.0,30887.446646341454,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
BRN,096,Brunéi,APC,2024.0,96.29828801,466338.0,449075.5103400738,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BGR,100,Bulgaria,EUR,2024.0,82.438955,6714556.0,5535409.7992898,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
MMR,104,Myanmar,APC,2020.0,45.4477005,54850648.0,24928358.22534924,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BDI,108,Burundi,AFR,2024.0,8.595999718,14390015.0,1236965.6488201576,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
BLR,112,Belarus,RUE,2024.0,94.26182128,8997601.0,8481302.574107492,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
KHM,116,Cambodia,APC,2024.0,68.47530365,17847981.0,12221459.185144307,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
